Epoch,Discriminator_Real_Img_Dicision,Discriminator_Fake_Img_Dicision,Discriminator_Loss,Generator_Loss
32,"tf.Tensor(
[[ 5.3901834 ]
 [ 1.5666102 ]
 [ 5.6314917 ]
 [-1.9209747 ]
 [ 2.3218708 ]
 [17.556585  ]
 [ 0.25104856]
 [ 9.596897  ]
 [ 6.561124  ]
 [14.168086  ]
 [ 3.7301772 ]
 [ 4.313384  ]
 [-0.3750403 ]
 [-1.2620603 ]
 [ 3.31429   ]
 [-0.68751234]], shape=(16, 1), dtype=float32)",-4.173401832580566,0.42171671986579895,4.188684463500977
33,"tf.Tensor(
[[ 4.2649384 ]
 [ 2.8023205 ]
 [-0.09928701]
 [12.97474   ]
 [-1.449076  ]
 [12.62873   ]
 [12.672232  ]
 [ 9.004115  ]
 [ 5.8830633 ]
 [ 1.0018632 ]
 [ 9.788774  ]
 [ 2.153336  ]
 [ 3.4534426 ]
 [11.127306  ]
 [-1.3298929 ]
 [13.941317  ]], shape=(16, 1), dtype=float32)",-3.1630845069885254,0.32255983352661133,3.2045094966888428
34,"tf.Tensor(
[[-1.6728989 ]
 [ 1.6386797 ]
 [12.809234  ]
 [ 6.000961  ]
 [-0.64569235]
 [ 0.645373  ]
 [10.982588  ]
 [ 0.10538132]
 [ 1.9708049 ]
 [ 6.1752806 ]
 [ 5.084186  ]
 [13.435142  ]
 [ 3.1427581 ]
 [ 2.688442  ]
 [10.712176  ]
 [11.004211  ]], shape=(16, 1), dtype=float32)",-5.339460372924805,0.2799379229545593,5.344247341156006
35,"tf.Tensor(
[[ 1.7641945 ]
 [-2.2104936 ]
 [-0.42747277]
 [-0.23439264]
 [ 3.1968024 ]
 [ 7.485604  ]
 [ 2.4864037 ]
 [-0.88880986]
 [ 3.4626925 ]
 [-0.03761182]
 [ 6.4176664 ]
 [13.349961  ]
 [ 0.755292  ]
 [-0.07736632]
 [17.665829  ]
 [ 1.0243918 ]], shape=(16, 1), dtype=float32)",-5.821262836456299,0.48685574531555176,5.824222087860107
36,"tf.Tensor(
[[ 4.2367225 ]
 [ 9.251928  ]
 [10.220488  ]
 [11.6010065 ]
 [ 1.2491999 ]
 [ 1.4931045 ]
 [ 0.6417936 ]
 [-3.291383  ]
 [-0.27308464]
 [ 6.482194  ]
 [-0.20357166]
 [ 5.100083  ]
 [10.543678  ]
 [ 1.2288179 ]
 [ 5.7275414 ]
 [14.76455   ]], shape=(16, 1), dtype=float32)",-7.387852668762207,0.3835384249687195,7.3884711265563965
37,"tf.Tensor(
[[ 8.516064 ]
 [ 3.193759 ]
 [12.411995 ]
 [11.018268 ]
 [18.58192  ]
 [ 1.3644189]
 [ 3.1873507]
 [10.305553 ]
 [24.55572  ]
 [-1.8062493]
 [ 4.2038813]
 [ 4.1936345]
 [ 3.756398 ]
 [ 3.53008  ]
 [ 1.2440352]
 [-1.7743112]], shape=(16, 1), dtype=float32)",-4.992214679718018,0.2900691628456116,4.9989824295043945
38,"tf.Tensor(
[[ 5.3390236 ]
 [18.917234  ]
 [ 2.751971  ]
 [ 5.93436   ]
 [-0.8940633 ]
 [ 4.6975207 ]
 [ 0.94810003]
 [14.008979  ]
 [ 7.0404816 ]
 [ 4.9033637 ]
 [-3.9625218 ]
 [-1.0136707 ]
 [-1.1584105 ]
 [ 0.68739367]
 [ 5.0473337 ]
 [ 6.5972977 ]], shape=(16, 1), dtype=float32)",-5.650232315063477,0.553655207157135,5.653742790222168
39,"tf.Tensor(
[[-1.2747463 ]
 [ 5.1444387 ]
 [12.571135  ]
 [ 1.9347495 ]
 [-0.85949636]
 [11.520436  ]
 [ 7.9148226 ]
 [-2.102597  ]
 [-0.4088124 ]
 [-0.2697532 ]
 [ 3.3103974 ]
 [-2.1983788 ]
 [10.657236  ]
 [ 3.7247136 ]
 [ 9.054203  ]
 [ 0.80443525]], shape=(16, 1), dtype=float32)",-4.727062225341797,0.6076431274414062,4.735875606536865
40,"tf.Tensor(
[[ 1.991831 ]
 [10.585285 ]
 [19.540485 ]
 [ 2.9304233]
 [-0.6699933]
 [ 3.4122822]
 [ 2.5542734]
 [17.35059  ]
 [ 2.0269887]
 [ 9.489045 ]
 [ 1.0396026]
 [-2.1056778]
 [ 7.792052 ]
 [ 1.76606  ]
 [ 6.97476  ]
 [ 1.3921293]], shape=(16, 1), dtype=float32)",-5.1399102210998535,0.28076812624931335,5.145751476287842
41,"tf.Tensor(
[[ 8.340488  ]
 [ 9.003457  ]
 [ 4.094338  ]
 [ 1.8247031 ]
 [ 5.2285304 ]
 [ 4.755918  ]
 [-1.7657144 ]
 [-1.286373  ]
 [-3.0678854 ]
 [ 1.6038306 ]
 [ 1.9284056 ]
 [-0.7348079 ]
 [-1.0833317 ]
 [ 0.89779305]
 [-0.68610775]
 [ 3.4378219 ]], shape=(16, 1), dtype=float32)",-6.004646301269531,0.6921758055686951,6.007110595703125
42,"tf.Tensor(
[[ 9.130704  ]
 [ 1.6268052 ]
 [16.573023  ]
 [21.163122  ]
 [ 3.650926  ]
 [ 6.4608917 ]
 [ 1.4533345 ]
 [ 3.4192538 ]
 [ 2.0061097 ]
 [ 0.15806374]
 [-0.32747012]
 [11.463521  ]
 [ 7.035253  ]
 [ 5.0541234 ]
 [10.9976845 ]
 [12.475917  ]], shape=(16, 1), dtype=float32)",-4.142643451690674,0.1451306939125061,4.15839958190918
43,"tf.Tensor(
[[ 5.699137  ]
 [ 0.98528856]
 [ 6.4557676 ]
 [ 1.2459855 ]
 [ 1.8408403 ]
 [ 5.3403597 ]
 [14.397453  ]
 [ 2.297829  ]
 [-1.15869   ]
 [ 4.9500766 ]
 [ 3.2742918 ]
 [15.553374  ]
 [ 5.365706  ]
 [ 8.221736  ]
 [ 4.222737  ]
 [-2.302176  ]], shape=(16, 1), dtype=float32)",-6.810295581817627,0.29583224654197693,6.811397552490234
44,"tf.Tensor(
[[ 2.7626736 ]
 [ 7.1662445 ]
 [-0.2019831 ]
 [10.727084  ]
 [ 0.62277275]
 [ 9.229755  ]
 [ 5.284808  ]
 [ 8.290137  ]
 [ 8.790606  ]
 [ 7.2342978 ]
 [-2.3683817 ]
 [ 1.6994584 ]
 [ 3.6788585 ]
 [ 3.355318  ]
 [-0.4778874 ]
 [ 6.107644  ]], shape=(16, 1), dtype=float32)",-4.7908124923706055,0.3173076808452606,4.799083709716797
45,"tf.Tensor(
[[ 3.8048635 ]
 [ 4.7919903 ]
 [11.30633   ]
 [ 5.742388  ]
 [ 7.531663  ]
 [ 4.2248993 ]
 [ 4.5006866 ]
 [ 2.8736742 ]
 [ 0.61236805]
 [17.811409  ]
 [ 3.992569  ]
 [ 1.0093606 ]
 [ 3.3646014 ]
 [ 9.720712  ]
 [ 2.138308  ]
 [ 4.914902  ]], shape=(16, 1), dtype=float32)",-2.373784303665161,0.1533852219581604,2.462827205657959
46,"tf.Tensor(
[[ 5.040695  ]
 [ 8.102623  ]
 [10.546264  ]
 [10.999941  ]
 [ 5.674041  ]
 [ 0.12921557]
 [18.017254  ]
 [ 2.7875347 ]
 [ 2.7403812 ]
 [ 0.7070892 ]
 [ 1.9756343 ]
 [ 1.0765998 ]
 [ 1.5944366 ]
 [ 8.751662  ]
 [ 2.2936735 ]
 [15.795884  ]], shape=(16, 1), dtype=float32)",-2.891610860824585,0.17076458036899567,2.945612907409668
47,"tf.Tensor(
[[ 4.945495  ]
 [-1.3070999 ]
 [ 2.6732519 ]
 [ 2.324695  ]
 [ 0.96192706]
 [ 7.8270726 ]
 [ 3.3804965 ]
 [ 9.041295  ]
 [ 8.949613  ]
 [-1.158067  ]
 [ 8.021373  ]
 [ 5.3498225 ]
 [ 5.6351323 ]
 [ 0.37265608]
 [12.978315  ]
 [ 6.2055907 ]], shape=(16, 1), dtype=float32)",-4.00794792175293,0.2703480124473572,4.025955677032471
48,"tf.Tensor(
[[ 1.7509817 ]
 [ 3.119668  ]
 [ 0.62297297]
 [ 3.040145  ]
 [ 2.4749858 ]
 [ 4.779366  ]
 [ 0.59121   ]
 [ 2.9674418 ]
 [ 3.5278385 ]
 [ 7.9365635 ]
 [ 2.614259  ]
 [ 0.33655852]
 [10.821622  ]
 [ 2.5984251 ]
 [ 6.944151  ]
 [ 9.068942  ]], shape=(16, 1), dtype=float32)",-6.940648078918457,0.12416431307792664,6.941615104675293
